ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
19,Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,DMK,93285,58.33,Chennai Metro,GEN,KASSALI A.V.A,PMK,23930,69355
20,Thousand Lights,EZHILAN N,DMK,71867,56.25,Chennai Metro,GEN,KUSHBOO SUNDAR,BJP,39405,32462
21,Anna Nagar,M.K. Mohan,DMK,80054,57.33,Chennai Metro,GEN,S. Gokula Indira,AIADMK,52609,27445
22,Virugampakkam,AMV.PRABHAKARA RAJA,DMK,74351,57.59,Chennai Metro,GEN,VIRUGAI V.N.RAVI,AIADMK,55984,18367
23,Saidapet,SUBRAMANIAN. MA,DMK,80194,57.36,Chennai Metro,GEN,SAIDAI DURAISAMY,AIADMK,50786,29408
24,Theayagaraya Nagar,KARUNANITHI J,DMK,56035,55.99,Chennai Metro,GEN,SATHIYANAARAYANAN B,AIADMK,55898,137
25,Mylapore,VELU.DHA,DMK,68392,56.6,Chennai Metro,GEN,NATARAJ.R,AIADMK,55759,12633
26,Velachery,JMH.AASSAN MAULAANA,INC,68493,56.18,Chennai Metro,GEN,M.K.ASHOK,AIADMK,64141,4352
27,Shozhinganallur,S.ARAVINDRAMESH,DMK,171558,55.51,Chennai Metro,GEN,K.P.KANDAN,AIADMK,136153,35405
28,Alandur,T.M.Anbarasan,DMK,116785,60.82,Chennai Metro,GEN,B.Valarmathi,AIADMK,76214,40571
29,Sriperumbudur,SELVAPERUNTHAGAI,INC,115353,73.94,Chennai Metro,SC,PALANI,AIADMK,104474,10879
30,Pallavaram,KARUNANITHI,DMK,126427,60.86,Chennai Metro,GEN,RAJENDRAN,AIADMK,88646,37781
31,Tambaram,Raja.S.R,DMK,116840,59.55,Chennai Metro,GEN,Chinnaiyah.T.K.M,AIADMK,80016,36824
32,Chengalpattu,VARALAKSHMI.M,DMK,130573,63.54,Chennai Metro,GEN,GAJENDRAN.M,AIADMK,103908,26665
